Date,Open,High,Low,Last,Change,%Chg,Volume,Open Int
2023-05-01,76.66,76.69,74.53,75.66,-1.12,-1.46%,443900,1886091
2023-04-28,74.91,76.92,73.93,76.78,2.02,2.70%,704355,1881769
2023-04-27,74.38,75.28,74.03,74.76,0.46,0.62%,784946,1880445
2023-04-26,77.08,77.93,74.05,74.3,-2.77,-3.59%,1084446,1862150
2023-04-25,78.74,79.07,76.5,77.07,-1.69,-2.15%,784520,1826195
2023-04-24,77.97,79.18,76.72,78.76,0.89,1.14%,621205,1843366
2023-04-21,77.13,78.39,76.72,77.87,0.5,0.65%,638195,1862472
2023-04-20,79.03,79.07,76.97,77.37,-1.87,-2.36%,717943,1883270
2023-04-19,80.96,81.24,78.53,79.24,-1.66,-2.05%,689477,1894743
2023-04-18,81,81.52,79.91,80.9,0.07,0.09%,703111,1913192
2023-04-17,82.42,82.62,80.46,80.83,-1.6,-1.94%,722653,1919527
2023-04-14,82.3,82.99,81.64,82.43,0.39,0.48%,825777,1896776
2023-04-13,83.07,83.27,82,82.04,-1.05,-1.26%,683300,1883200
2023-04-12,81.38,83.38,81.21,83.09,1.6,1.96%,977549,1896968
2023-04-11,79.87,81.55,79.4,81.49,1.72,2.16%,791566,1875140
2023-04-10,80.5,81.19,79.65,79.77,-0.91,-1.13%,607175,1875858
2023-04-06,80.45,80.97,79.69,80.68,0.05,0.06%,674816,1889117
2023-04-05,81.01,81.25,79.75,80.63,-0.09,-0.11%,674772,1880340
2023-04-04,80.49,81.81,79.64,80.72,0.28,0.35%,897753,1858446
2023-04-03,80.6,81.77,79.04,80.44,4.64,6.12%,1567311,1841698
2023-03-31,74.44,75.83,73.89,75.8,1.31,1.76%,755277,1838157
2023-03-30,73.07,74.72,72.76,74.49,1.37,1.87%,603589,1818389
2023-03-29,73.74,74.48,72.92,73.12,-0.22,-0.30%,727604,1805944
2023-03-28,72.93,74.04,72.33,73.34,0.41,0.56%,735489,1785807
2023-03-27,69.75,73.2,69.27,72.93,3.52,5.07%,804458,1798836
2023-03-24,69.67,70.53,67.02,69.41,-0.71,-1.01%,818044,1823159
2023-03-23,70.07,71.79,69.3,70.12,-0.9,-1.27%,777064,1820292
2023-03-22,69.57,71.43,69.03,71.02,1.25,1.79%,779335,1813692
2023-03-21,67.99,69.85,67.1,69.77,1.78,2.62%,882211,1790595
2023-03-20,67.07,68.06,64.58,67.99,0.87,1.30%,972108,1788446
2023-03-17,68.63,69.94,65.59,67.12,-1.51,-2.20%,1337361,1795230
2023-03-16,68.41,69.62,66,68.63,0.81,1.19%,1027920,1790657
2023-03-15,71.94,72.77,65.89,67.82,-3.75,-5.24%,1752725,1782299
2023-03-14,74.81,75.06,71.04,71.57,-3.38,-4.51%,1066434,1767660
2023-03-13,76.63,77.57,72.52,74.95,-1.85,-2.41%,993307,1772536
2023-03-10,75.8,77.21,74.96,76.8,0.92,1.21%,767364,1769780
2023-03-09,76.71,78.18,75.59,75.88,-0.97,-1.26%,786358,1769150
2023-03-08,77.48,77.88,76.29,76.85,-0.86,-1.11%,709773,1759977
2023-03-07,80.51,80.97,77.21,77.71,-2.8,-3.48%,853837,1755027
2023-03-06,80,80.66,78.41,80.51,0.74,0.93%,594327,1754733
2023-03-03,77.97,79.97,76.04,79.77,1.48,1.89%,762602,1757818
2023-03-02,77.81,78.67,77.35,78.29,0.49,0.63%,520880,1754383
2023-03-01,76.88,77.96,76.29,77.8,0.66,0.86%,690681,1755350
2023-02-28,75.87,77.85,75.64,77.14,1.35,1.78%,634521,1750212
2023-02-27,76.7,76.94,75.14,75.79,-0.69,-0.90%,524794,1750215
2023-02-24,76,76.75,74.4,76.48,0.8,1.06%,671537,1757139
2023-02-23,74.39,76.25,74.2,75.68,1.37,1.84%,786141,1771746
2023-02-22,76.33,76.75,74.17,74.31,-2.25,-2.94%,735885,1782094
2023-02-21,76.78,77.89,76.12,76.56,-0.15,-0.20%,687683,1753386
2023-02-17,78.48,78.64,75.53,76.71,-2.16,-2.74%,737566,1768112
2023-02-16,78.9,79.87,78.34,78.87,-0.14,-0.18%,547897,1787275
2023-02-15,79.19,79.53,77.64,79.01,-0.36,-0.45%,666938,1806591
2023-02-14,79.67,79.97,77.91,79.37,-0.99,-1.23%,840147,1821601
2023-02-13,80.14,80.75,78.77,80.36,0.41,0.51%,814248,1818358
2023-02-10,77.92,80.47,77.73,79.95,1.6,2.04%,880182,1803375
2023-02-09,78.74,79.12,76.94,78.35,-0.46,-0.58%,777697,1788438
2023-02-08,77.89,78.91,77.47,78.81,1.25,1.61%,840327,1792412
2023-02-07,75.25,77.95,75.04,77.56,2.73,3.65%,1041408,1791955
2023-02-06,73.98,75.24,73.03,74.83,0.78,1.05%,857900,1802117
2023-02-03,76.45,78.46,73.79,74.05,-2.4,-3.14%,973054,1775843
2023-02-02,77.3,77.71,75.58,76.45,-0.47,-0.61%,745967,1750696
2023-02-01,79.52,80.14,76.6,76.92,-2.44,-3.07%,789306,1726724
2023-01-31,78.4,79.66,77.07,79.36,1.02,1.30%,678120,1726378
2023-01-30,80.19,80.86,78.11,78.34,-1.74,-2.17%,666875,1711398
2023-01-27,81.44,82.68,79.48,80.08,-1.3,-1.60%,814432,1697557
2023-01-26,80.82,82.41,80.33,81.38,0.77,0.96%,668068,1681911
2023-01-25,80.75,81.62,79.94,80.61,-0.04,-0.05%,645939,1666551
2023-01-24,82.09,82.6,80.22,80.65,-1.49,-1.81%,697723,1660450
2023-01-23,81.97,82.98,81.4,82.14,0.22,0.27%,830920,1643165
2023-01-20,81.18,82.15,80.31,81.92,0.98,1.21%,741196,1616175
2023-01-19,79.64,81.7,78.83,80.94,0.83,1.04%,772121,1615815
2023-01-18,81.33,82.71,79.5,80.11,-0.46,-0.57%,987271,1621408
2023-01-17,80.46,81.63,79.04,80.57,0.28,0.35%,1168571,1613466
2023-01-13,78.81,80.5,78.45,80.29,1.34,1.70%,895954,1595867
2023-01-12,78.25,79.54,77.57,78.95,0.92,1.18%,928128,1574676
2023-01-11,75.49,78.31,75.02,78.03,2.2,2.90%,1005420,1577926
2023-01-10,75.69,76.55,74.78,75.83,0.34,0.45%,863813,1557092
2023-01-09,74.36,77.23,74.33,75.49,0.99,1.33%,817571,1534440
2023-01-06,74.53,76.1,73.97,74.5,0.16,0.22%,608676,1515033
2023-01-05,74,75.44,73.25,74.34,0.78,1.06%,706565,1504805
2023-01-04,77.25,77.76,73.48,73.56,-3.67,-4.75%,899027,1501468
2023-01-03,80.52,81.18,76.97,77.23,-2.97,-3.70%,812025,1459936
2022-12-30,78.46,80.5,77.66,80.2,1.96,2.51%,460409,1440291
2022-12-29,78.65,78.67,76.8,78.24,-0.59,-0.75%,396959,1430173
2022-12-28,79.68,79.72,77.35,78.83,-0.48,-0.61%,421323,1415605
2022-12-27,79.4,80.6,78.88,79.31,0.21,0.27%,459899,1413545
2022-12-23,77.34,79.32,77.01,79.1,2.46,3.21%,501325,1404638
2022-12-22,77.52,78.79,76.25,76.64,-0.82,-1.06%,463326,1394843
2022-12-21,75.68,77.77,75.36,77.46,1.72,2.27%,559030,1399039
2022-12-20,75.47,76.27,74.08,75.74,0.72,0.96%,551304,1394021
2022-12-19,74.58,75.89,73.82,75.02,0.75,1.01%,575639,1397289
2022-12-16,75.84,76.08,73.4,74.27,-1.34,-1.77%,689612,1409494
2022-12-15,77.06,77.21,75.21,75.61,-1.43,-1.86%,713388,1413200
2022-12-14,75.62,77.46,75.24,77.04,1.37,1.81%,789613,1429706
2022-12-13,73.89,76.18,73.82,75.67,1.83,2.48%,888046,1450482
2022-12-12,72.47,74.25,71.24,73.84,1.82,2.53%,835779,1462221
2022-12-09,72.66,73.32,71.26,72.02,-0.19,-0.26%,954585,1458924
2022-12-08,73.24,74.82,71.9,72.21,-0.79,-1.08%,1352272,1448121
2022-12-07,75.22,75.83,72.81,73,-1.91,-2.55%,979100,1447227
2022-12-06,77.82,78.34,74.27,74.91,-2.48,-3.20%,935416,1436728
2022-12-05,79.77,82.2,77.21,77.39,-2.39,-3.00%,854011,1437479
2022-12-02,80.59,81.05,79.21,79.78,-0.59,-0.73%,662915,1410821
2022-12-01,80.28,82.19,79.8,80.37,0,0.00%,742271,1414811
2022-11-30,78.34,80.6,78.01,80.37,2.5,3.21%,644016,1420782
2022-11-29,76.32,79.08,76,77.87,0.99,1.29%,811327,1412121
2022-11-28,76.12,77.34,73.89,76.88,0.61,0.80%,932664,1407065
2022-11-25,77.24,79.23,76.19,76.27,-1.35,-1.74%,500845,1413346
2022-11-23,79.48,80.01,76.52,77.62,-1.66,-2.09%,813230,1413041
2022-11-22,78.85,80.21,78.47,79.28,0.54,0.69%,570659,1403260
2022-11-21,78.33,78.95,74.7,78.74,0.6,0.77%,1066369,1415064
2022-11-18,79.43,79.98,76.72,78.14,-0.84,-1.06%,1167883,1439585
2022-11-17,81.11,81.22,78.54,78.98,-2.33,-2.87%,1034811,1451894
2022-11-16,83.08,83.08,80.48,81.31,-1.26,-1.53%,694275,1437134
2022-11-15,81,84.05,80.29,82.57,1.46,1.80%,940328,1469437
2022-11-14,83.33,84.17,80.79,81.11,-2.14,-2.57%,826468,1485833
2022-11-11,80.88,83.93,80.75,83.25,2.23,2.75%,696142,1468011
2022-11-10,80.37,81.67,79.56,81.02,0.58,0.72%,748085,1453200
2022-11-09,82.82,83.31,80.2,80.44,-2.69,-3.24%,939237,1451641
2022-11-08,85.39,85.54,82.8,83.13,-2.15,-2.52%,795325,1446658
2022-11-07,84.3,86.4,83.63,85.28,-0.22,-0.26%,717952,1454170
2022-11-04,81.91,85.85,81.75,85.5,3.45,4.20%,823655,1469138
2022-11-03,82.42,82.95,81.33,82.05,-1.14,-1.37%,513158,1453870
2022-11-02,81.68,83.43,81.05,83.19,1.76,2.16%,593384,1459758
2022-11-01,80.04,82.39,79.69,81.43,1.43,1.79%,558152,1459052
2022-10-31,81.08,81.22,78.84,80,-0.66,-0.82%,523819,1454097
2022-10-28,81.48,81.6,80.08,80.66,-1.18,-1.44%,504681,1453285
2022-10-27,81.3,82.16,80.45,81.84,0.8,0.99%,619937,1451367
2022-10-26,79.04,81.43,78.43,81.04,1.61,2.03%,556852,1442243
2022-10-25,78.81,79.8,77.4,79.43,0.9,1.15%,483573,1436942
2022-10-24,78.65,79.44,76.55,78.53,0,0.00%,454678,1434285
