Date,Price,Open,High,Low,Change %
2023-05-01,35.94,37.12,37.26,35.86,0.87%
2023-04-28,35.63,38.27,38.27,35.58,-5.64%
2023-04-27,37.76,40.67,40.72,37.62,-3.80%
2023-04-26,39.25,36.96,39.26,36.01,7.12%
2023-04-25,36.64,33.85,36.69,33.76,6.88%
2023-04-24,34.28,36.14,36.51,34.24,-2.53%
2023-04-21,35.17,35.2,36.24,34.93,-3.41%
2023-04-20,36.41,36.43,37.55,36.09,5.72%
2023-04-19,34.44,36.17,36.33,34.14,2.23%
2023-04-18,33.69,34.68,34.75,32.92,2.31%
2023-04-17,32.93,34.85,34.86,32.52,1.29%
2023-04-14,32.51,34.07,34.14,31.83,-0.82%
2023-04-13,32.78,34.65,34.65,32.62,-2.85%
2023-04-12,33.74,34.13,34.43,33.31,-1.43%
2023-04-11,34.23,38.43,38.88,33.88,-0.23%
2023-04-10,34.31,37.59,37.61,34.29,-1.29%
2023-04-06,34.76,38.72,38.72,34.42,-11.19%
2023-04-05,39.14,39.35,40.41,38.56,-0.71%
2023-04-04,39.42,38.26,40.04,37.44,-0.18%
2023-04-03,39.49,43.16,43.16,38.45,-2.11%
2023-03-31,40.34,43.33,43.39,40.34,-4.00%
2023-03-30,42.02,45.78,45.84,42.02,-3.02%
2023-03-29,43.33,50.1,50.1,43.19,-2.21%
2023-03-28,44.31,47.06,47.29,44.3,-2.42%
2023-03-27,45.41,48.61,48.61,45.36,-6.10%
2023-03-25,48.36,48.36,48.36,48.36,0.00%
2023-03-24,48.36,53.47,53.49,48.28,3.11%
2023-03-23,46.9,48.2,48.2,44.92,-0.15%
2023-03-22,46.97,47.59,47.79,45.18,-2.39%
2023-03-21,48.12,51.17,51.17,46.45,-5.91%
2023-03-20,51.14,51.82,52.55,50.46,-0.66%
2023-03-17,51.48,47.97,54.19,47.08,5.82%
2023-03-16,48.65,49.02,54.12,48.39,-2.27%
2023-03-15,49.78,54.15,57.89,45.39,5.00%
2023-03-14,47.41,42.03,47.68,35.69,24.34%
