Date,PNL,STD_A,STD_B,STD_C,STD_D,STD_E,STD_F,STD_G,STD_Sum,STD_Total,STD_Diff,Open_Vol,Perc_Change_Vol,Perc_Change_Price,Volume,Open_Int,Range,High_Diff,High_Vol,High_PC_Price,High_PC_Vol
2023-05-01,-87826.0,86468.49857536222,10878.838940445812,12334.135120148983,2815.1287351946858,34893.76049816454,1074.2300098171788,124562.41057805972,273027.0024571932,208302.92230197755,64724.08015521566,37.12,0.87,1.46,443900.0,1886091.0,2.1599999999999966,0,0,1,0
2023-04-28,21268.0,91845.33000725994,94278.58034081369,9297.392073911156,3480.016426604424,34194.61856781773,21482.9501922107,121529.22958746809,376108.11719608575,230086.8589419798,146021.25825410595,38.27,5.64,2.7,704355.0,1881769.0,2.989999999999995,1,0,1,1
2023-04-27,262982.0,94350.68883693768,21781.23636990481,8312.541272278031,642.8888215149547,25922.69959221999,13779.058313244506,118436.92185806343,283226.0350641634,219589.5305550008,63636.504509162594,40.67,3.8,0.62,784946.0,1880445.0,1.25,0,0,0,1
2023-04-26,-175431.0,114380.24814576244,16358.357475533736,19714.508052204543,2564.716940556257,34678.93943564083,9706.071672650976,118254.55726728564,315657.3989896344,228701.656092784,86955.74289685042,36.96,7.12,3.59,1084446.0,1862150.0,3.8800000000000097,0,0,1,1
2023-04-25,44683.0,111122.88895140238,13866.942815758845,9517.71060557215,5498.2908923089335,27595.620453765965,5983.0769141837445,118929.94940290847,292514.4800359005,209646.71389415796,82867.76614174253,33.85,6.88,2.15,784520.0,1826195.0,2.569999999999993,0,0,1,1
2023-04-24,-158487.0,115829.30413475064,15696.930527460076,6852.564182328637,6416.471473022736,29302.74359446092,16877.98703666304,123298.27183253795,314274.27278122405,230062.574495811,84211.69828541306,36.14,2.53,1.14,621205.0,1843366.0,2.460000000000008,0,0,0,0
2023-04-21,-258449.0,99371.6257291396,16764.233366407716,13248.113196257087,2055.277795044713,19260.989184614693,4650.710925136386,119948.878345188,275299.82854178816,198293.67335893717,77006.15518285098,35.2,3.41,0.65,638195.0,1862472.0,1.6700000000000017,0,0,0,1
2023-04-20,9902.0,98845.2892868239,356692.31788491714,20849.848096369307,948.0119147659886,34770.70721078347,3739.7859148974135,121022.86973852022,636868.8300470774,421358.1280013392,215510.70204573817,36.43,5.72,2.36,717943.0,1883270.0,2.0999999999999943,1,0,1,1
2023-04-19,-201752.0,80768.98170460301,15462.334692596633,12110.928566481038,8365.828099644305,34192.87389489861,3825.570788431392,115514.2698386414,270240.7875852964,191372.17219138503,78868.61539391134,36.17,2.23,2.05,689477.0,1894743.0,2.7099999999999937,0,0,1,0
2023-04-18,-108904.0,79857.07338427608,14300.634359465446,13764.37214439811,586.1055955154532,27336.294601338905,1961.735593622088,123397.68451778068,261203.90019639675,185931.3032831362,75272.59691326055,34.68,2.31,0.09,703111.0,1913192.0,1.6099999999999994,0,0,0,0
